Company,Position,Date,Status,Stage
AT&T,SWE,08/21/19,Applied,RS
Amazon,SWE,08/12/19,Rejected,Code Challenge
BookBub,SWE,08/22/19,Applied,RS
Citadel,SWE,08/13/19,Rejected,RS
General Mills,SWE,08/21/19,Applied,RS
Google,SWE,10/03/19,Applied,RS
Honeywell,SWE,08/21/19,Applied,RS
Hubspot,SWE,08/22/19,Applied,RS
Impira,SWE,08/22/19,Applied,RS
Lime,SWE,08/22/19,Applied,RS
LiveRamp,SWE,08/22/19,Applied,RS
Lyft,SWE,08/21/19,Applied,RS
Mastercard,SWE,08/20/19,Applied,RS
Palantir,SWE,08/13/2019,Rejected,RS
Red Ventures,SWE,08/21/19,Applied,RS
Stripe,SWE,08/22/19,Applied,RS
